IDG_Dimension,IDG_Skill,Muller_Portfolio,Muller_Competency_Category,Muller_Sub-element
Being,Inner compass,Bricoleur,Ensuring technology-culture fit,Integrating technologies compatible with existing organisational values and identity
Being,Inner compass,Competitor,Cultivating competitive capabilities,Strategic leadership anchored in organisational culture and long-term purpose
Being,Integrity and Authenticity,Organizer,Building trust in digital technologies,Being perceived as honest consistent and fair as a leader
Being,Openness and Learning mindset,Challenger,Stimulating alternate business futures,Willingness to take risks and embrace uncertainty around undemonstrated technologies
Being,Openness and Learning mindset,Challenger,Promoting an entrepreneurial spirit,Fail-fast mantra — learning rapidly from experimentation and failure
Being,Presence,Organizer,Encouraging team collaboration,Creating a positive and attentive work environment; being available and supportive to teams
Thinking,Critical thinking,Challenger,Promoting an entrepreneurial spirit,Challenging conventional thinking at all organisational levels; questioning the status quo
Thinking,Complexity awareness,Challenger,Technology scouting for market innovation,Understanding potential and limitations of emerging technologies from a market perspective
Thinking,Complexity awareness,Bricoleur,Managing process-technology alignment,Recognising incremental transformation potential through systemic analysis of processes and technologies
Thinking,Complexity awareness,Competitor,Analyzing for competitive positioning,Analysing how industry and sector organisations use digital technologies; understanding systemic competitive dynamics
Thinking,Perspective skills,Challenger,Technology scouting for market innovation,Insight into adoption successes and failures in other organisational settings
Thinking,Perspective skills,Competitor,Analyzing for competitive positioning,Analysing how competitors leverage technologies; taking an outside-in perspective on industry dynamics
Thinking,Sense-making,Challenger,Stimulating alternate business futures,Scenario planning; presenting a coherent vision that stakeholders can understand and rally around
Thinking,Sense-making,Bricoleur,Managing process-technology alignment,Recognising digital transformation potential by making sense of incremental improvement patterns
Thinking,Sense-making,Competitor,Cultivating competitive capabilities,Using data for identifying tracking mining and exploiting information relevant to organisational needs
Thinking,Long-term orientation and visioning,Challenger,Stimulating alternate business futures,Transformative vision; anticipating markets and trends; making savvy business decisions in turbulent times
Thinking,Long-term orientation and visioning,Competitor,Cultivating competitive capabilities,Strategic leadership of organisational culture toward long-term competitive positioning
Relating,Appreciation,Organizer,Encouraging team collaboration,Creating a positive and inclusive work environment; fostering non-threatening team collaboration
Relating,Connectedness,,,(absent — stakeholder coordination is present but connectedness as felt belonging is not addressed)
Relating,Humility,Organizer,Building trust in digital technologies,Supporting followers with greater autonomy; coaching rather than unilaterally directing from top management
Relating,Empathy and Compassion,Organizer,Building trust in digital technologies,Coaching behaviours that promote development provide resources and assist employees in handling tasks
Relating,Empathy and Compassion,Competitor,Analyzing for competitive positioning,Energising employees; understanding and managing customer service through people-oriented attention
Relating,Empathy and Compassion,Competitor,Stimulating product co-creation,Customer-oriented focus on value creation; gaining insights into customer preferences and needs
Collaborating,Communication skills,Organizer,Utilizing (digital) communication tools,Mastering digital communication platforms and tools; communicating clearly and managing communication flow
Collaborating,Communication skills,Organizer,Utilizing (digital) communication tools,Leveraging remote collaboration tools enterprise social networks and web conferencing
Collaborating,Communication skills,Bricoleur,Coordinating stakeholder engagement,Convincing employees of the need for DT; visualising resulting benefits to gain buy-in
Collaborating,Communication skills,Challenger,Stimulating alternate business futures,Presenting a vision that all stakeholders can understand and rally around
Collaborating,Co-creation skills,Bricoleur,Coordinating stakeholder engagement,Consolidating and sharing knowledge across individuals groups and the organisation
Collaborating,Co-creation skills,Bricoleur,Coordinating stakeholder engagement,Brokering knowledge between internal members and external knowledge sources
Collaborating,Co-creation skills,Organizer,Encouraging team collaboration,Motivating collaboration; organising team activities for continual development; including all stakeholders
Collaborating,Co-creation skills,Competitor,Stimulating product co-creation,Collaborative development and marketing of customised products and services with diverse stakeholders
Collaborating,Inclusive mindset and Intercultural competence,Bricoleur,Coordinating stakeholder engagement,Providing quality communication links among groups; brokering across organisational boundaries
Collaborating,Inclusive mindset and Intercultural competence,Organizer,Encouraging team collaboration,Ensuring inclusion of all stakeholders; managing virtual team collaboration across diverse and distributed groups
Collaborating,Trust,Organizer,Building trust in digital technologies,Creating trust by being honest consistent and fair; using technology to reinforce credibility
Collaborating,Trust,Bricoleur,Ensuring technology-culture fit,Inspiring people through culture-aligned transformation; convincing workforce through shared values
Collaborating,Mobilization skills,Bricoleur,Ensuring technology-culture fit,Inspiring and convincing workforce across departments and hierarchy levels to embrace DT
Collaborating,Mobilization skills,Bricoleur,Coordinating stakeholder engagement,Convincing employees of DT need by pointing to customer value and project contribution to bottom line
Collaborating,Mobilization skills,Organizer,Building trust in digital technologies,Supporting followers; coaching behaviours to promote development and increase autonomy
Collaborating,Mobilization skills,Competitor,Cultivating competitive capabilities,Inspiring employees to be proactive in supporting the company's digital transformation agenda
Acting,Courage,Challenger,Stimulating alternate business futures,Challenging conventional thinking and status quo; risk-taking in entering new markets with unproven technologies
Acting,Courage,Challenger,Promoting an entrepreneurial spirit,Rewarding experimentation; risk-tolerant mindset; taking active role in initiating change within teams and organisations
Acting,Creativity,Challenger,Promoting an entrepreneurial spirit,Experimenting with technologies of as-yet undemonstrated value; incentivising innovation
Acting,Creativity,Competitor,Stimulating product co-creation,Identifying and developing new opportunities to deploy IT-enabled processes; creating new products and services
Acting,Optimism,,,(absent — not addressed in any of the four portfolios)
Acting,Perseverance,Challenger,Promoting an entrepreneurial spirit,Fail-fast discipline — trying new things rapidly and recognising fast whether they work; sustaining innovation effort
Acting,Perseverance,Bricoleur,Managing process-technology alignment,Project-by-project achievement of business goals; thorough planning and sustained execution
