IDG_Dimension,IDG_Skill,Schiuma_Competency,Schiuma_Sub-element
Being,Inner compass,C2 — Envisioning Goodness,Higher purpose beyond profit; contributing to societal good
Being,Inner compass,C3 — Shaping Knowledge Context,Establishing shared sense of purpose across the organisation
Being,Integrity and Authenticity,C2 — Envisioning Goodness,Values-driven and ethical decision-making; acting critically and responsibly
Being,Integrity and Authenticity,C6 — Making DT Everyone's Job,Leading by personal example; behaving as a trustworthy role model
Being,Openness and Learning mindset,C3 — Shaping Knowledge Context,Creating open learning-oriented environments; keeping doors open
Being,Openness and Learning mindset,C3 — Shaping Knowledge Context,Identifying new digital learning contexts; involving people in learning
Being,Openness and Learning mindset,C6 — Making DT Everyone's Job,Selfless continual learning; culture of inquiry for open thinking
Being,Self-awareness,C2 — Envisioning Goodness,Nurturing emotional intelligence; working on oneself to make people happy
Being,Presence,C1 — Grasping the Essence,Using intuition and tacit knowledge to grasp essence of situations
Being,Presence,C3 — Shaping Knowledge Context,Well-being as foundational condition for effective knowledge work
Thinking,Critical thinking,C1 — Grasping the Essence,Exercising critical thinking; understanding idea behind object of observation
Thinking,Critical thinking,C6 — Making DT Everyone's Job,Nurturing critical thinking in others; problem-based learning environments
Thinking,Complexity awareness,C1 — Grasping the Essence,Seeing both trees and forest simultaneously; holistic systemic awareness
Thinking,Complexity awareness,C5 — Engaging People,Dialectical thinking — embracing contradictions and paradoxes in complex situations
Thinking,Perspective skills,C1 — Grasping the Essence,Connecting digital knowledge with business challenges; holistic business perspective
Thinking,Perspective skills,C5 — Engaging People,Understanding people's diverse viewpoints and emotions to mobilize them
Thinking,Sense-making,C1 — Grasping the Essence,Processing high volumes of fast-paced data; summarising and making sense of relevant information
Thinking,Sense-making,C5 — Engaging People,Dialectical synthesis — finding common ground from contradictory perspectives
Thinking,Long-term orientation and visioning,C2 — Envisioning Goodness,Long-term sustainability orientation; managing present toward a better future
Thinking,Long-term orientation and visioning,C4 — Communicating the Essence,Visioning through narrative; using imagination to create new futures
Relating,Appreciation,C6 — Making DT Everyone's Job,Creating a friendly and non-intimidating atmosphere; psychological safety for all members
Relating,Connectedness,C2 — Envisioning Goodness,Thinking beyond organisational boundaries toward societal and human well-being
Relating,Connectedness,C4 — Communicating the Essence,Building personal bonds and shared organisational identity through narrative
Relating,Humility,C6 — Making DT Everyone's Job,Non-threatening leadership style; showing trust to avoid intimidation and insecurity
Relating,Empathy and Compassion,C2 — Envisioning Goodness,Emotional intelligence; nurturing human happiness and well-being as leadership goal
Relating,Empathy and Compassion,C4 — Communicating the Essence,Empathetic storytelling; using pathos to connect with others' experiences
Relating,Empathy and Compassion,C5 — Engaging People,Empathy and listening to understand people's feelings and spur them to action
Relating,Empathy and Compassion,C6 — Making DT Everyone's Job,Caring about employees' emotions; respecting and nurturing individuals' growth
Collaborating,Communication skills,C4 — Communicating the Essence,Storytelling; using metaphors and rhetoric to inspire and convey meaning
Collaborating,Communication skills,C4 — Communicating the Essence,Mastering logos pathos ethos; adapting communication to diverse audiences
Collaborating,Communication skills,C4 — Communicating the Essence,Leveraging social media and digital tools for e-communication
Collaborating,Communication skills,C5 — Engaging People,Empathetic listening and open dialogue to build team cohesion
Collaborating,Co-creation skills,C3 — Shaping Knowledge Context,Creating BA — collaborative knowledge spaces for interaction and learning
Collaborating,Co-creation skills,C3 — Shaping Knowledge Context,Facilitating creative team collisions; stimulating knowledge-sharing and comparison
Collaborating,Co-creation skills,C5 — Engaging People,Mobilizing people with different interests toward a single shared target
Collaborating,Co-creation skills,C6 — Making DT Everyone's Job,Empowering people; providing opportunities to experiment and improve collectively
Collaborating,Inclusive mindset and Intercultural competence,C3 — Shaping Knowledge Context,Building open networks across diverse stakeholders; formal and informal learning spaces
Collaborating,Inclusive mindset and Intercultural competence,C5 — Engaging People,Engaging people from different cultures ages and backgrounds around digital evolution
Collaborating,Trust,C4 — Communicating the Essence,Building ethos and credibility through consistent honest communication
Collaborating,Trust,C6 — Making DT Everyone's Job,Trust-based empowerment; assigning challenging tasks as act of trust
Collaborating,Mobilization skills,C5 — Engaging People,Exercising political power to bring people together and get them to act
Collaborating,Mobilization skills,C5 — Engaging People,Stimulating team motivation; bridging gaps and inspiring common purpose
Collaborating,Mobilization skills,C6 — Making DT Everyone's Job,Distributing practical wisdom; mentoring others to develop DT competencies
Acting,Courage,C1 — Grasping the Essence,Decisiveness under incomplete information; acting concretely toward a direction
Acting,Courage,C5 — Engaging People,Charismatic energy and commitment; inspiring confidence in high performance
Acting,Courage,C5 — Engaging People,Encouraging positive disobedience and critical thinking against the status quo
Acting,Creativity,C3 — Shaping Knowledge Context,Capitalising on timing; facilitating creative collisions to spark innovation
Acting,Creativity,C4 — Communicating the Essence,Using imagination and storytelling to create new scenarios visions and futures
Acting,Creativity,C5 — Engaging People,Stimulating creativity through disobedience; embracing contradictions as source of innovation
Acting,Creativity,C6 — Making DT Everyone's Job,Encouraging initiative and problem-solving; fostering performances beyond expectations
Acting,Optimism,C2 — Envisioning Goodness,Nurturing optimism idealism and hopefulness; being idealistic opens new possible futures
Acting,Perseverance,C3 — Shaping Knowledge Context,Demonstrating commitment; sustaining effort to build learning cultures
Acting,Perseverance,C5 — Engaging People,Sustained charismatic energy and commitment over time
Acting,Perseverance,C6 — Making DT Everyone's Job,Selfless commitment; continual learning and personal growth as ongoing discipline
